rank,mode,lower_value,upper_value,value,bfi,output_q16,normalized_output,delta_q16_from_prev
28677,blend8,64,166,166,1,38035,0.5803768978408484,1
28678,blend8,109,169,169,2,38036,0.5803921568627451,1
28679,blend8,135,148,148,1,38037,0.5804074158846418,1
28680,blend8,34,223,223,2,38038,0.5804226749065385,1
28681,blend8,132,165,165,3,38039,0.5804379339284352,1
28682,blend8,91,159,159,1,38040,0.5804531929503319,1
28683,blend8,82,188,188,2,38041,0.5804684519722286,1
28684,blend8,39,173,173,1,38042,0.5804837109941253,1
28685,blend8,22,177,177,1,38043,0.580498970016022,1
28686,blend8,18,179,179,1,38045,0.5805294880598154,2
28687,blend8,113,154,154,1,38047,0.5805600061036088,2
28688,blend8,5,243,243,2,38048,0.5805752651255055,1
28689,fill8,0,145,145,0,38049,0.5805905241474022,1
28690,blend8,70,197,197,2,38050,0.5806057831692989,1
28691,blend8,97,220,220,3,38053,0.580651560234989,3
28692,blend8,90,231,231,3,38054,0.5806668192568857,1
28693,blend8,37,220,220,2,38055,0.5806820782787824,1
28694,blend8,32,224,224,2,38056,0.5806973373006791,1
28695,blend8,6,182,182,1,38057,0.5807125963225758,1
28696,blend8,77,252,252,3,38059,0.5807431143663692,2
28697,blend8,107,155,155,1,38060,0.5807583733882659,1
28698,blend8,11,180,180,1,38061,0.5807736324101626,1
28699,blend8,104,208,208,3,38062,0.5807888914320593,1
28700,blend8,126,150,150,1,38063,0.580804150453956,1
28701,blend8,74,194,194,2,38064,0.5808194094758526,1
28702,blend8,109,155,155,1,38065,0.5808346684977493,1
28703,blend8,57,168,168,1,38066,0.580849927519646,1
28704,blend8,114,166,166,2,38067,0.5808651865415427,1
28705,blend8,15,179,179,1,38068,0.5808804455634394,1
28706,blend8,109,200,200,3,38069,0.5808957045853361,1
28707,blend8,141,148,148,2,38070,0.5809109636072328,1
28708,blend8,108,156,156,1,38071,0.5809262226291295,1
28709,blend8,107,171,171,2,38072,0.5809414816510262,1
28710,blend8,139,147,147,1,38073,0.5809567406729229,1
28711,blend8,101,157,157,1,38074,0.5809719996948196,1
28712,blend8,69,166,166,1,38075,0.5809872587167163,1
28713,blend8,31,225,225,2,38076,0.581002517738613,1
28714,blend8,12,180,180,1,38077,0.5810177767605097,1
28715,blend8,43,172,172,1,38078,0.5810330357824064,1
28716,blend8,42,172,172,1,38079,0.5810482948043031,1
28717,blend8,52,170,170,1,38080,0.5810635538261998,1
28718,blend8,42,217,217,2,38081,0.5810788128480965,1
28719,blend8,86,237,237,3,38082,0.5810940718699932,1
28720,blend8,67,199,199,2,38083,0.5811093308918899,1
28721,blend8,6,243,243,2,38084,0.5811245899137866,1
28722,blend8,56,207,207,2,38085,0.5811398489356833,1
28723,blend8,126,158,158,2,38086,0.58115510795758,1
28724,blend8,27,228,228,2,38087,0.5811703669794767,1
28725,blend8,66,166,166,1,38088,0.5811856260013734,1
28726,blend8,132,201,201,4,38089,0.58120088502327,1
28727,blend8,133,199,199,4,38090,0.5812161440451667,1
28728,blend8,104,209,209,3,38091,0.5812314030670634,1
28729,blend8,63,202,202,2,38092,0.5812466620889601,1
28730,blend8,4,184,184,1,38093,0.5812619211108568,1
28731,blend8,137,152,152,2,38094,0.5812771801327535,1
28732,blend8,35,174,174,1,38095,0.5812924391546502,1
28733,blend8,145,146,146,1,38096,0.5813076981765469,1
28734,blend8,19,234,234,2,38097,0.5813229571984436,1
28735,blend8,9,181,181,1,38098,0.5813382162203403,1
28736,blend8,23,177,177,1,38099,0.581353475242237,1
28737,blend8,67,166,166,1,38100,0.5813687342641337,1
28738,blend8,76,163,163,1,38101,0.5813839932860304,1
28739,blend8,110,169,169,2,38102,0.5813992523079271,1
28740,blend8,20,178,178,1,38103,0.5814145113298238,1
28741,blend8,28,176,176,1,38104,0.5814297703517205,1
28742,blend8,142,159,159,4,38105,0.5814450293736172,1
28743,blend8,103,211,211,3,38106,0.5814602883955139,1
28744,blend8,53,169,169,1,38107,0.5814755474174106,1
28745,blend8,98,219,219,3,38108,0.5814908064393073,1
28746,blend8,103,174,174,2,38109,0.581506065461204,1
28747,blend8,55,169,169,1,38110,0.5815213244831007,1
28748,blend8,93,181,181,2,38111,0.5815365835049974,1
28749,blend8,87,236,236,3,38112,0.5815518425268941,1
28750,blend8,71,165,165,1,38113,0.5815671015487908,1
28751,blend8,16,179,179,1,38114,0.5815823605706875,1
28752,blend8,124,151,151,1,38115,0.5815976195925842,1
28753,blend8,38,220,220,2,38116,0.5816128786144809,1
28754,blend8,51,170,170,1,38117,0.5816281376363776,1
28755,blend8,134,153,153,2,38118,0.5816433966582742,1
28756,blend8,88,160,160,1,38119,0.5816586556801709,1
28757,blend8,117,153,153,1,38120,0.5816739147020676,1
28758,blend8,3,246,246,2,38121,0.5816891737239643,1
28759,blend8,59,168,168,1,38122,0.581704432745861,1
28760,blend8,58,168,168,1,38123,0.5817196917677577,1
28761,blend8,98,158,158,1,38124,0.5817349507896544,1
28762,blend8,21,178,178,1,38125,0.5817502098115511,1
28763,blend8,47,171,171,1,38126,0.5817654688334478,1
