name,mode,use_fill16,r16,g16,b16,w16,repeats
gray_q16_20881,fill16,1,20881,20881,20881,0,1
gray_q16_21013,fill16,1,21013,21013,21013,0,1
gray_q16_21144,fill16,1,21144,21144,21144,0,1
gray_q16_21275,fill16,1,21275,21275,21275,0,1
gray_q16_21407,fill16,1,21407,21407,21407,0,1
gray_q16_21538,fill16,1,21538,21538,21538,0,1
gray_q16_21669,fill16,1,21669,21669,21669,0,1
gray_q16_21801,fill16,1,21801,21801,21801,0,1
gray_q16_21932,fill16,1,21932,21932,21932,0,1
gray_q16_22063,fill16,1,22063,22063,22063,0,1
gray_q16_22195,fill16,1,22195,22195,22195,0,1
gray_q16_22326,fill16,1,22326,22326,22326,0,1
gray_q16_22457,fill16,1,22457,22457,22457,0,1
gray_q16_22589,fill16,1,22589,22589,22589,0,1
gray_q16_22720,fill16,1,22720,22720,22720,0,1
gray_q16_22851,fill16,1,22851,22851,22851,0,1
gray_q16_22983,fill16,1,22983,22983,22983,0,1
gray_q16_23114,fill16,1,23114,23114,23114,0,1
gray_q16_23245,fill16,1,23245,23245,23245,0,1
gray_q16_23377,fill16,1,23377,23377,23377,0,1
gray_q16_23508,fill16,1,23508,23508,23508,0,1
gray_q16_23639,fill16,1,23639,23639,23639,0,1
gray_q16_23771,fill16,1,23771,23771,23771,0,1
gray_q16_23902,fill16,1,23902,23902,23902,0,1
gray_q16_24033,fill16,1,24033,24033,24033,0,1
gray_q16_24165,fill16,1,24165,24165,24165,0,1
gray_q16_24296,fill16,1,24296,24296,24296,0,1
gray_q16_24427,fill16,1,24427,24427,24427,0,1
gray_q16_24559,fill16,1,24559,24559,24559,0,1
gray_q16_24690,fill16,1,24690,24690,24690,0,1
gray_q16_24821,fill16,1,24821,24821,24821,0,1
gray_q16_24953,fill16,1,24953,24953,24953,0,1
gray_q16_25084,fill16,1,25084,25084,25084,0,1
gray_q16_25215,fill16,1,25215,25215,25215,0,1
gray_q16_25347,fill16,1,25347,25347,25347,0,1
gray_q16_25478,fill16,1,25478,25478,25478,0,1
gray_q16_25609,fill16,1,25609,25609,25609,0,1
gray_q16_25741,fill16,1,25741,25741,25741,0,1
gray_q16_25872,fill16,1,25872,25872,25872,0,1
gray_q16_26003,fill16,1,26003,26003,26003,0,1
gray_q16_26135,fill16,1,26135,26135,26135,0,1
gray_q16_26266,fill16,1,26266,26266,26266,0,1
gray_q16_26397,fill16,1,26397,26397,26397,0,1
gray_q16_26529,fill16,1,26529,26529,26529,0,1
gray_q16_26660,fill16,1,26660,26660,26660,0,1
gray_q16_26791,fill16,1,26791,26791,26791,0,1
gray_q16_26923,fill16,1,26923,26923,26923,0,1
gray_q16_27054,fill16,1,27054,27054,27054,0,1
gray_q16_27185,fill16,1,27185,27185,27185,0,1
gray_q16_27317,fill16,1,27317,27317,27317,0,1
gray_q16_27448,fill16,1,27448,27448,27448,0,1
gray_q16_27579,fill16,1,27579,27579,27579,0,1
gray_q16_27711,fill16,1,27711,27711,27711,0,1
gray_q16_27842,fill16,1,27842,27842,27842,0,1
gray_q16_27973,fill16,1,27973,27973,27973,0,1
gray_q16_28105,fill16,1,28105,28105,28105,0,1
gray_q16_28236,fill16,1,28236,28236,28236,0,1
gray_q16_28367,fill16,1,28367,28367,28367,0,1
