name,mode,use_fill16,r16,g16,b16,w16
sparse_cyanteal_r0.00g0.50b0.80_8192_w0,fill16,1,0,4096,6553,0
sparse_cyanteal_r0.00g0.50b0.80_8192_w8,fill16,1,0,4096,6553,655
sparse_cyanteal_r0.00g0.50b0.80_8192_w18,fill16,1,0,4096,6553,1474
sparse_cyanteal_r0.00g0.50b0.80_8192_w30,fill16,1,0,4096,6553,2457
sparse_cyanteal_r0.00g0.50b0.80_8192_w45,fill16,1,0,4096,6553,3686
sparse_cyanteal_r0.00g0.50b0.80_8192_w60,fill16,1,0,4096,6553,4915
sparse_cyanteal_r0.00g0.65b0.85_8192_w0,fill16,1,0,5324,6963,0
sparse_cyanteal_r0.00g0.65b0.85_8192_w8,fill16,1,0,5324,6963,655
sparse_cyanteal_r0.00g0.65b0.85_8192_w18,fill16,1,0,5324,6963,1474
sparse_cyanteal_r0.00g0.65b0.85_8192_w30,fill16,1,0,5324,6963,2457
sparse_cyanteal_r0.00g0.65b0.85_8192_w45,fill16,1,0,5324,6963,3686
sparse_cyanteal_r0.00g0.65b0.85_8192_w60,fill16,1,0,5324,6963,4915
sparse_cyanteal_r0.00g0.40b1.00_12288_w0,fill16,1,0,4915,12288,0
sparse_cyanteal_r0.00g0.40b1.00_12288_w8,fill16,1,0,4915,12288,983
sparse_cyanteal_r0.00g0.40b1.00_12288_w18,fill16,1,0,4915,12288,2211
sparse_cyanteal_r0.00g0.40b1.00_12288_w30,fill16,1,0,4915,12288,3686
sparse_cyanteal_r0.00g0.40b1.00_12288_w45,fill16,1,0,4915,12288,5529
sparse_cyanteal_r0.00g0.40b1.00_12288_w60,fill16,1,0,4915,12288,7372
sparse_cyanteal_r0.00g0.55b1.00_12288_w0,fill16,1,0,6758,12288,0
sparse_cyanteal_r0.00g0.55b1.00_12288_w8,fill16,1,0,6758,12288,983
sparse_cyanteal_r0.00g0.55b1.00_12288_w18,fill16,1,0,6758,12288,2211
sparse_cyanteal_r0.00g0.55b1.00_12288_w30,fill16,1,0,6758,12288,3686
sparse_cyanteal_r0.00g0.55b1.00_12288_w45,fill16,1,0,6758,12288,5529
sparse_cyanteal_r0.00g0.55b1.00_12288_w60,fill16,1,0,6758,12288,7372
sparse_cyanteal_r0.00g0.70b1.00_12288_w0,fill16,1,0,8601,12288,0
sparse_cyanteal_r0.00g0.70b1.00_12288_w8,fill16,1,0,8601,12288,983
sparse_cyanteal_r0.00g0.70b1.00_12288_w18,fill16,1,0,8601,12288,2211
sparse_cyanteal_r0.00g0.70b1.00_12288_w30,fill16,1,0,8601,12288,3686
sparse_cyanteal_r0.00g0.70b1.00_12288_w45,fill16,1,0,8601,12288,5529
sparse_cyanteal_r0.00g0.70b1.00_12288_w60,fill16,1,0,8601,12288,7372
sparse_cyanteal_r0.00g0.85b1.00_12288_w0,fill16,1,0,10444,12288,0
sparse_cyanteal_r0.00g0.85b1.00_12288_w8,fill16,1,0,10444,12288,983
sparse_cyanteal_r0.00g0.85b1.00_12288_w18,fill16,1,0,10444,12288,2211
sparse_cyanteal_r0.00g0.85b1.00_12288_w30,fill16,1,0,10444,12288,3686
sparse_cyanteal_r0.00g0.85b1.00_12288_w45,fill16,1,0,10444,12288,5529
sparse_cyanteal_r0.00g0.85b1.00_12288_w60,fill16,1,0,10444,12288,7372
sparse_cyanteal_r0.00g1.00b1.00_12288_w0,fill16,1,0,12288,12288,0
sparse_cyanteal_r0.00g1.00b1.00_12288_w8,fill16,1,0,12288,12288,983
sparse_cyanteal_r0.00g1.00b1.00_12288_w18,fill16,1,0,12288,12288,2211
sparse_cyanteal_r0.00g1.00b1.00_12288_w30,fill16,1,0,12288,12288,3686
sparse_cyanteal_r0.00g1.00b1.00_12288_w45,fill16,1,0,12288,12288,5529
sparse_cyanteal_r0.00g1.00b1.00_12288_w60,fill16,1,0,12288,12288,7372
sparse_cyanteal_r0.00g1.00b0.80_12288_w0,fill16,1,0,12288,9830,0
sparse_cyanteal_r0.00g1.00b0.80_12288_w8,fill16,1,0,12288,9830,983
sparse_cyanteal_r0.00g1.00b0.80_12288_w18,fill16,1,0,12288,9830,2211
sparse_cyanteal_r0.00g1.00b0.80_12288_w30,fill16,1,0,12288,9830,3686
sparse_cyanteal_r0.00g1.00b0.80_12288_w45,fill16,1,0,12288,9830,5529
sparse_cyanteal_r0.00g1.00b0.80_12288_w60,fill16,1,0,12288,9830,7372
sparse_cyanteal_r0.00g1.00b0.60_12288_w0,fill16,1,0,12288,7372,0
